Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Master,Success,6,1,2023-01-24 09:38:40 -0600,2023-03-09 15:03:14 -0600,0:00:02
Connection,Success,4,0,2023-01-20 15:15:15 -0600,2023-02-16 15:57:52 -0600,0:00:04
